No_;FST;CMDE;CMDE_LIGNE;REFERENCE;DESIGNATION;TOT_CMDE;Qte_restante;Date_liv;MNT_HT;MNT_TOTAL_HT;MNT_DU
FA2T;A2T;OA1701681;10000;644823-01RD01#;TRAITEMENT THERMIQUE 2;10;10;08/09/2017 00:00;6,5;65;65
FA2T;A2T;OA1701681;20000;644823-01RD01#;CEMENTATION;10;10;31/08/2017 00:00;15;150;150
FA2T;A2T;OA1701857;10000;2010513-03R05;TRAITEMENT THERMIQUE;1;1;24/07/2017 00:00;105;105;105
FA2T;A2T;OA1701857;20000;2010898-03R06;TRAITEMENT THERMIQUE;1;1;02/08/2017 00:00;195;195;195
FA2T;A2T;OA1701857;30000;2010568-01R03B;TRAITEMENT THERMIQUE;1;1;02/08/2017 00:00;130;130;130
FA2T;A2T;OA1701857;40000;2010568-02R02B;TRAITEMENT THERMIQUE;1;1;02/08/2017 00:00;130;130;130
FA2T;A2T;OA1701857;50000;2010898-03R06;TRAITEMENT THERMIQUE;1;1;03/08/2017 00:00;195;195;195
FA2T;A2T;OA1701857;60000;2010898-03R06;TRAITEMENT THERMIQUE;1;1;03/08/2017 00:00;195;195;195
FA2T;A2T;OA1701914;10000;644839-01RB01#;TRAITEMENT THERMIQUE;12;1;26/07/2017 00:00;8,75;105;8,75
FA2T;A2T;OA1701914;20000;644845-01R01#;TRAITEMENT THERMIQUE;12;12;26/07/2017 00:00;8,75;105;105
FAIMAT;AI MATERIALS LTD;OA1702158;10000;EB-PLUG-2147181-01;EB-PLUG F/4-1;5;5;09/08/2017 00:00;57,54;287,7;287,7
FAIMAT;AI MATERIALS LTD;OA1702195;10000;17-4 PH AISI 630;EB ARBRE MOTEUR AUMA / 24864R0;2;2;11/08/2017 00:00;158,3;316,6;316,6
FAQUASIGN;AQUASIGN LIMITED;OA1702224;10000;FOURN-00885;ADHESIVE, NON-FLAMMABLE, WATER THIN,;2;2;05/09/2017 00:00;41,84;83,68;83,68
FBECKC;BECK CRESPEL;OA1701944;10000;FOURN-00854;SCREW 12PT 1-1/2-8UN X 5.25 L7 XY BSL3;192;192;18/10/2017 00:00;65,23;12524,16;12524,16
FBECKC;BECK CRESPEL;OA1701340;10000;FOURN-00024;"SCREW 12 PT CAP 1.75-8 X 16.5"" STL  A193 B7 YL PL";160;160;04/09/2017 00:00;35,14;5622,4;5622,4
FBECKC;BECK CRESPEL;OA1701340;20000;FOURN-00024;"SCREW 12 PT CAP 1.75-8 X 16.5"" STL  A193 B7 YL PL";140;140;04/09/2017 00:00;35,14;4919,6;4919,6
FBECKC;BECK CRESPEL;OA1701321;10000;FOURN-00166;SCREW 12PT CAP 1.25-8UN X 2.500 ASTM A193 GR B7 ZN;48;48;31/07/2017 00:00;15,57;747,36;747,36
FBIMET;BI METAL SERVICE;OA1701539;10000;CONSO-14835;EV_E711;1;1;14/06/2017 00:00;360;360;360
FBIMET;BI METAL SERVICE;OA1701539;20000;CONSO-14835;EV_E5;1;1;14/06/2017 00:00;56;56;56
FBIMET;BI METAL SERVICE;OA1701539;30000;CONSO-14835;EV_M1173;1;1;14/06/2017 00:00;8;8;8
FBODYC;BODYCOTE France - FBI;OA1701621;10000;P495858RAM#;NITRURATION;3;3;27/06/2017 00:00;348,14;1044,42;1044,42
FBODYC;BODYCOTE France - FBI;OA1701621;20000;P495858RAM#;NITRURATION;1;1;27/06/2017 00:00;348,14;348,14;348,14
FBODYC;BODYCOTE France - FBI;OA1702017;10000;R100544239RAH#;NITRURATION;1;1;21/07/2017 00:00;348,14;348,14;348,14
FBODYC;BODYCOTE France - FBI;OA1702017;20000;R100544239RAH#;NITRURATION;1;1;21/07/2017 00:00;348,14;348,14;348,14
FBODYC;BODYCOTE France - FBI;OA1701730;10000;100544239RAH#;NITRURATION;8;1;10/07/2017 00:00;348,14;2785,12;348,14
FBODYC;BODYCOTE France - FBI;OA1702232;10000;RP495858RAM#;NITRURATION;1;1;30/08/2017 00:00;348,14;348,14;348,14
FBODYC;BODYCOTE France - FBI;OA1702232;20000;RP495858RAM#;NITRURATION;1;1;30/08/2017 00:00;348,14;348,14;348,14
FCARCA;CARCASSONNE USINAGE;OA1701991;10000;2163970-01RA01#;USINAGE SEUL;10;10;08/09/2017 00:00;53,7;537;537
FCARCA;CARCASSONNE USINAGE;OA1701951;10000;644845-01R01#;USINAGE SEUL;12;12;29/08/2017 00:00;81,2;974,4;974,4
FCARCA;CARCASSONNE USINAGE;OA1701952;10000;644839-01RB01#;USINAGE SEUL;12;12;29/08/2017 00:00;28,9;346,8;346,8
FCARCA;CARCASSONNE USINAGE;OA1701694;10000;644838-01RB01#;USINAGE SEUL;10;10;21/08/2017 00:00;59,8;598;598
FCARCA;CARCASSONNE USINAGE;OA1702102;10000;644089-05R02;USINAGE SEUL;9;9;11/08/2017 00:00;44,6;401,4;401,4
FCARCA;CARCASSONNE USINAGE;OA1702207;10000;041629-01R02#;USINAGE SEUL;49;49;09/10/2017 00:00;56,4;2763,6;2763,6
FCARCA;CARCASSONNE USINAGE;OA1702230;10000;657045-03R01#;USINAGE SEUL 2;1;1;08/09/2017 00:00;187,7;187,7;187,7
FCARPF;CARPENTER TECHNOLOGY(EUROP);OA1701815;10000;MAT60502;EB STABILIZER / SH620512 REV AY;10;10;11/09/2017 00:00;1841,56;18415,6;18415,6
FCHROB;CHROMOBRONZE;OA1701574;10000;030324-04-01R01#;REVETEMENT CHROMAGE;4;4;17/07/2017 00:00;68,15;272,6;272,6
FCHROB;CHROMOBRONZE;OA1701574;20000;2254942-02R05#;CHROME/RECTIFICATION;6;6;26/07/2017 00:00;480,03;2880,18;2880,18
FCHROM;CHROMENIC;OA1701523;10000;PRESTATION ACHAT;PRESTATION ACHAT;27;27;19/06/2017 00:00;4,4;118,8;118,8
FCHROM;CHROMENIC;OA1701920;30000;2012348-01R03#;ZINGUAGE BICHROMATAGE;8;8;24/07/2017 00:00;12;96;96
FCIC;CIC CHROMAGE INDUSTRIEL DU CENTRE;OA1701729;10000;2012349-01R04#;NICKELAGE;3;3;21/07/2017 00:00;0;0;0
FCIC;CIC CHROMAGE INDUSTRIEL DU CENTRE;OA1701499;10000;2012349-03R03#;NICKELAGE;4;4;08/06/2017 00:00;0;0;0
FCIR;CIR;OA1701633;10000;FOURN-00023;"SCREW 12 PT CAP 1.5-8 X 3"" STL  A193 GR B7 YL PL";50;50;13/11/2017 00:00;14;700;700
FCIR;CIR;OA1701633;30000;FOURN-00432;O-RING SIZE AS 568-212 0.859 ID X 0.139 W 90;50;50;04/09/2017 00:00;0,48;24;24
FCIR;CIR;OA1701671;10000;FOURN-00035;PLUG PIPE THD HEX SOC 1/2 SST 18-8 / SS 103;10;10;18/09/2017 00:00;4,61;46,1;46,1
FCIR;CIR;OA1701528;10000;FOURN-00001;GLAND TUBING 3/8 AE HIGH PRESSURE 60000PSI, 316SST;30;30;09/10/2017 00:00;17,94;538,2;538,2
FCIR;CIR;OA1701528;20000;FOURN-00002;BLIND PLUG 3/8OD TBG SST 316AE HIGH PRESS 60000PSI;40;40;11/09/2017 00:00;14,94;597,6;597,6
FCIR;CIR;OA1701528;30000;FOURN-00002;BLIND PLUG 3/8OD TBG SST 316AE HIGH PRESS 60000PSI;10;10;13/11/2017 00:00;14,94;149,4;149,4
FCIR;CIR;OA1701528;40000;FOURN-00023;"SCREW 12 PT CAP 1.5-8 X 3"" STL  A193 GR B7 YL PL";130;130;09/10/2017 00:00;14;1820;1820
FCIR;CIR;OA1701528;50000;FOURN-00025;O-RING AS-568-337 2.975 ID X .21 W 90D /MS-1078NIT;20;20;13/11/2017 00:00;0,58;11,6;11,6
FCIR;CIR;OA1701528;60000;FOURN-00026;O-RING AS-568-381 11.975 ID X .21 W70D/MS-1082NIT;20;20;09/10/2017 00:00;2,15;43;43
FCIR;CIR;OA1701529;10000;FOURN-00248;O RING SIZE AS-568-232  2.734 ID X .139 W 90D;10;10;13/11/2017 00:00;0,33;3,3;3,3
FCIR;CIR;OA1701529;20000;FOURN-00254;FOUR LOBES RING OD 124.33 X ID 113.67 X WT 5.33 NI;12;12;13/11/2017 00:00;4,23;50,76;50,76
FCIR;CIR;OA1701529;40000;FOURN-00535;O-RING SIZE AS-568-218  1.234 ID X .139 W 90 SHORE;10;10;13/11/2017 00:00;0,2;2;2
FCIR;CIR;OA1701529;50000;FOURN-00258;"PIPE PLUG HEX HD 1"" NPT ZN PL";10;10;16/10/2017 00:00;4,42;44,2;44,2
FCIR;CIR;OA1701341;10000;FOURN-00249;BACK UP RING 2.756 ID X 2.992 OD NITRILE PARBAK 8;100;100;23/10/2017 00:00;0,98;98;98
FCIR;CIR;OA1701341;30000;FOURN-00245;BACK UP RING SIZE 325 1.513 ID X 1.879 OD NITRILE;200;200;06/10/2017 00:00;0,47;94;94
FCIR;CIR;OA1701229;30000;FOURN-00011;ELBOW, 90 DEG MALE 1/2 NPTF X;69;69;01/09/2017 00:00;77,08;5318,52;5318,52
FCIR;CIR;OA1701271;10000;FOURN-00248;O RING SIZE AS-568-232  2.734 ID X .139 W 90D;20;20;06/11/2017 00:00;0,34;6,8;6,8
FCIR;CIR;OA1701271;20000;FOURN-00535;O-RING SIZE AS-568-218  1.234 ID X .139 W 90 SHORE;41;41;06/11/2017 00:00;0,21;8,61;8,61
FCIR;CIR;OA1701271;30000;FOURN-00254;FOUR LOBES RING OD 124.33 X ID 113.67 X WT 5.33 NI;76;76;06/11/2017 00:00;4,39;333,64;333,64
FCIR;CIR;OA1701271;50000;FOURN-00244;O-RING SIZE AS-568-325  1.475 ID X .210 W 90 SHORE;60;60;06/11/2017 00:00;0,26;15,6;15,6
FCIR;CIR;OA1700761;30000;FOURN-00015;CROSS PIPE-THREADED 1-IN 3000 PSI SST 316 B16.11;3;3;05/09/2017 00:00;318,95;956,85;956,85
FCIR;CIR;OA1700761;60000;FOURN-00017;"CONNECTOR TBG M 1"" NPTFX3/4"" TBG JIC NIPPLE ST/STL";6;6;05/09/2017 00:00;74,84;449,04;449,04
FCIR;CIR;OA1700763;60000;FOURN-00008;NUT, TUBING 3/4 TBG SST TRIPLE-LOK;12;12;05/09/2017 00:00;14,53;174,36;174,36
FCIR;CIR;OA1702029;10000;FOURN-00258;"PIPE PLUG HEX HD 1"" NPT ZN PL";50;50;18/09/2017 00:00;4,59;229,5;229,5
FCIR;CIR;OA1701973;10000;CONSO-14815;Y-PK-4;20;20;17/07/2017 00:00;1,65;33;33
FCIR;CIR;OA1701876;10000;FOURN-00001;GLAND TUBING 3/8 AE HIGH PRESSURE 60000PSI, 316SST;20;20;07/09/2017 00:00;17,94;358,8;358,8
FCIR;CIR;OA1701876;20000;FOURN-00008;NUT, TUBING 3/4 TBG SST TRIPLE-LOK;26;26;07/09/2017 00:00;14,53;377,78;377,78
FCIR;CIR;OA1701876;40000;FOURN-00011;ELBOW, 90 DEG MALE 1/2 NPTF X;56;56;07/09/2017 00:00;77,08;4316,48;4316,48
FCIR;CIR;OA1701877;10000;FOURN-00023;"SCREW 12 PT CAP 1.5-8 X 3"" STL  A193 GR B7 YL PL";150;150;13/11/2017 00:00;14;2100;2100
FCIR;CIR;OA1701878;10000;FOURN-00261;O-RING SIZE  2.475 ID * .210 W 90D FLUOROELASTOMER;10;10;03/10/2017 00:00;0,74;7,4;7,4
FCIR;CIR;OA1701831;10000;FOURN-00016;NIPPLE PIPE-HEX SHORT 1 NPTFX2.34 SST 316 3000PSI;1;1;11/09/2017 00:00;39,39;39,39;39,39
FCIR;CIR;OA1701831;20000;FOURN-00008;NUT, TUBING 3/4 TBG SST TRIPLE-LOK;50;50;11/09/2017 00:00;14,53;726,5;726,5
FCIR;CIR;OA1701831;30000;FOURN-00009;FERRULE, TBG 3/4 TRIPLE-LOK;76;76;11/09/2017 00:00;6,72;510,72;510,72
FCIR;CIR;OA1701832;10000;FOURN-00640;TUBING HYD 0.75 X 0.095 SST 316 - LONG 1.4FT;70;70;04/09/2017 00:00;13,58;950,6;950,6
FCIR;CIR;OA1701781;10000;FOURN-00028;SEAL RING 3.00 ID X 3.75 OD X .375 POLYPAK TYPE B;46;46;16/10/2017 00:00;4,37;201,02;201,02
FCIR;CIR;OA1702223;10000;FOURN-00899;PIN PARALLEL DIA 8MM LG 32 MM ISO 8734 STL TYPE A;2;2;22/09/2017 00:00;50;100;100
FCIR;CIR;OA1702123;10000;FOURN-00152;ASSY HOSE FLAME RESISTANT U.S. MSHA 2G  0.50 ID X;1;1;27/11/2017 00:00;337,48;337,48;337,48
FCIR;CIR;OA1702123;20000;FOURN-00017;"CONNECTOR TBG M 1"" NPTFX3/4"" TBG JIC NIPPLE ST/STL";2;2;27/11/2017 00:00;74,84;149,68;149,68
FCIR;CIR;OA1702123;40000;FOURN-00397;"O-RING SIZE AS-568-322  1.225""ID X .210""W MS-1078";10;10;27/11/2017 00:00;0,61;6,1;6,1
FCIR;CIR;OA1702123;50000;FOURN-00542;O RING, SIZE AS-568-431 5.225 ID X.275 W 90D /MS-1;1;1;27/11/2017 00:00;1,76;1,76;1,76
FCIR;CIR;OA1702126;10000;FOURN-00045;O-RING SIZE AS-568-220 1.359IDX.139W90SHOREMS-1078;10;10;04/10/2017 00:00;0,19;1,9;1,9
FCIR;CIR;OA1702126;20000;FOURN-00048;O-RING SIZE AS568-221 1.421IDX.139W90SHOREMS-1078;10;10;04/10/2017 00:00;0,14;1,4;1,4
FCIR;CIR;OA1702126;30000;FOURN-00054;O-RING, SIZE AS-568-331 2.225;20;20;04/10/2017 00:00;0,38;7,6;7,6
FCIR;CIR;OA1702126;40000;FOURN-00061;O-RING AS-568-335 2.725 IDX.210W90 SH NITR MS-1078;10;10;04/10/2017 00:00;1,07;10,7;10,7
FCIR;CIR;OA1702126;50000;FOURN-00538;O RING, SIZE AS-568-433 5.475 ID X .275 W 90D;5;5;04/10/2017 00:00;2,85;14,25;14,25
FCIR;CIR;OA1702084;10000;FOURN-00893;FITTING, GREASE-STRAIGHT 1/2 NPT;1;1;18/09/2017 00:00;389,15;389,15;389,15
FDALPR;MDV (DALPRO);OA1702010;10000;2404038-35R01#;USINAGE SEUL;2;2;22/08/2017 00:00;360;720;720
FDALPR;MDV (DALPRO);OA1702010;20000;237249-03R02#;USINAGE SEUL;2;2;28/08/2017 00:00;790;1580;1580
FDALPR;MDV (DALPRO);OA1702030;10000;2010885-01R02#;USINAGE SEUL;6;6;30/08/2017 00:00;285;1710;1710
FDALPR;MDV (DALPRO);OA1702030;20000;2010885-01R02#;USINAGE SEUL;10;10;06/09/2017 00:00;285;2850;2850
FDALPR;MDV (DALPRO);OA1701999;10000;2246508-54-01R03#;USINAGE SEUL;4;4;06/09/2017 00:00;610;2440;2440
FDALPR;MDV (DALPRO);OA1701953;10000;2246509-35-01R01#;USINAGE SEUL;4;4;05/09/2017 00:00;920;3680;3680
FDALPR;MDV (DALPRO);OA1701868;10000;2162414-08-03R02#;USINAGE SEUL;10;10;08/09/2017 00:00;450;4500;4500
FDALPR;MDV (DALPRO);OA1701869;10000;611789-01RH02#;USINAGE SEUL;5;5;25/08/2017 00:00;85;425;425
FDALPR;MDV (DALPRO);OA1701869;20000;2246509-74-03R03#;USINAGE SEUL;8;8;08/09/2017 00:00;30;240;240
FDALPR;MDV (DALPRO);OA1701869;30000;2246511-74-01R03#;USINAGE SEUL;4;4;04/09/2017 00:00;320;1280;1280
FDALPR;MDV (DALPRO);OA1701682;10000;644823-01RD01#;USINAGE SEUL 2;10;10;23/08/2017 00:00;50;500;500
FDALPR;MDV (DALPRO);OA1701682;20000;644823-01RD01#;USINAGE SEUL 3;10;10;08/09/2017 00:00;50;500;500
FDALPR;MDV (DALPRO);OA1701682;30000;644823-01RD01#;USINAGE SEUL;10;10;21/07/2017 00:00;50;500;500
FDALPR;MDV (DALPRO);OA1701748;20000;2246509-74-03R04#;USINAGE SEUL;8;8;18/08/2017 00:00;30;240;240
FDALPR;MDV (DALPRO);OA1701637;10000;2010882-03R05#;USINAGE SEUL;12;12;04/09/2017 00:00;425;5100;5100
FDALPR;MDV (DALPRO);OA1702109;10000;2010884-01R06#;USINAGE SEUL;2;2;01/09/2017 00:00;135;270;270
FDALPR;MDV (DALPRO);OA1702109;20000;2010884-01R06#;USINAGE SEUL;12;12;01/09/2017 00:00;135;1620;1620
FDALPR;MDV (DALPRO);OA1702110;10000;2162439-08-03R02#;USINAGE SEUL;9;9;13/09/2017 00:00;320;2880;2880
FDALPR;MDV (DALPRO);OA1702110;20000;2010882-03R05#;USINAGE SEUL;2;2;11/09/2017 00:00;425;850;850
FDALPR;MDV (DALPRO);OA1702110;30000;2010882-03R05#;USINAGE SEUL;6;6;11/09/2017 00:00;425;2550;2550
FDALPR;MDV (DALPRO);OA1702239;10000;2150826-32-07R01#;USINAGE SEUL;2;2;31/08/2017 00:00;1520;3040;3040
FDALPR;MDV (DALPRO);OA1702219;10000;2246509-35-02R01#;USINAGE SEUL;4;4;15/10/2017 00:00;345;1380;1380
FDELSC;DELTAMETAL SCREW;OA1701320;10000;FOURN-00167;"SCREW 12 PT CAP 1.500-8 X 15.5"" ASTM A193 GR B7 ZN";36;36;08/08/2017 00:00;25,5;918;918
FDELSC;DELTAMETAL SCREW;OA1701319;10000;FOURN-00199;SCREW, 12 PT CAP 1.750-8UN X 20.500 ASTM;20;20;08/08/2017 00:00;65;1300;1300
FDELSC;DELTAMETAL SCREW;OA1701879;10000;FOURN-00141;"SCREW 12PT CAP1.5-8X19.125"" STL A193 GRB7 ZN PL Y";10;10;30/10/2017 00:00;138;1380;1380
FDELSC;DELTAMETAL SCREW;OA1701927;10000;FOURN-00167;"SCREW 12 PT CAP 1.500-8 X 15.5"" ASTM A193 GR B7 ZN";100;100;30/09/2017 00:00;25,5;2550;2550
FDEVIL;DEVILLE RECTIFICATION;OA1702170;10000;CONSO-14817;PLAQUE OUTILLAGE 700X580 EP 50;4;4;21/08/2017 00:00;391,5;1566;1566
FDNV;DNV- Det Norske Veritas France;OA1702220;10000;2245160-01-02R05;INSPECTION CERTIFIEE;5;5;31/08/2017 00:00;118,4;592;592
FDNV;DNV- Det Norske Veritas France;OA1702220;20000;2245160-01-02R05;INSPECTION CERTIFIEE;5;5;31/08/2017 00:00;118,4;592;592
FDNV;DNV- Det Norske Veritas France;OA1702220;30000;2245160-01-02R05;INSPECTION CERTIFIEE;10;10;31/08/2017 00:00;59,2;592;592
FDNV;DNV- Det Norske Veritas France;OA1702220;40000;2245160-01-02R05;INSPECTION CERTIFIEE;6;6;31/08/2017 00:00;98,67;592,02;592,02
FDNV;DNV- Det Norske Veritas France;OA1702070;50000;2245160-01-02R05;INSPECTION CERTIFIEE;10;10;28/07/2017 00:00;59,2;592;592
FDNV;DNV- Det Norske Veritas France;OA1702238;10000;2245199-03-04R04;INSPECTION CERTIFIEE;10;10;31/08/2017 00:00;59,2;592;592
FDNV;DNV- Det Norske Veritas France;OA1702238;20000;2245160-01-02R05;INSPECTION CERTIFIEE;6;6;31/08/2017 00:00;98,67;592,02;592,02
FDNV;DNV- Det Norske Veritas France;OA1702238;30000;2245160-01-02R05;INSPECTION CERTIFIEE;4;4;31/08/2017 00:00;148;592;592
FDNV;DNV- Det Norske Veritas France;OA1702238;40000;2113510-04R01;INSPECTION CERTIFIEE;10;10;31/08/2017 00:00;59,2;592;592
FDNV;DNV- Det Norske Veritas France;OA1702238;50000;2113510-04R01;INSPECTION CERTIFIEE;8;8;31/08/2017 00:00;74;592;592
FECCI;ECCI LABORATOIRE;OA1701685;10000;CONSO-14819;HVOF 1;1;1;;995;995;995
FECCI;ECCI LABORATOIRE;OA1701655;10000;CONSO-14819;QUALIFICATION OPERATEUR ASME IX;2;2;04/07/2017 00:00;351;702;702
FECCI;ECCI LABORATOIRE;OA1701494;40000;CONSO-14819;1 EPROUVETTE HVOF 03;1;1;15/06/2017 00:00;720;720;720
FEMCOA;EM COATING (curtiss-wright);OA1702157;10000;330550-16R01#;REVETEMENT;10;10;10/08/2017 00:00;127,45;1274,5;1274,5
FFORGR;FORGIA RAPIDA;OA1701797;10000;EBF-TB13-2010880-07;EBF-TB13-TAIL ROD AISI 4140;10;10;12/09/2017 00:00;315;3150;3150
FFORGR;FORGIA RAPIDA;OA1702136;10000;MAT61707;EB SEMI FINISHED FLANGE/MS-012501-02-01 REV A03;2;2;06/10/2017 00:00;1935;3870;3870
FFORGR;FORGIA RAPIDA;OA1702046;10000;MAT61024;EBF-TB13-CYLINDRE HEAD/MS-011269-03R02;2;2;07/11/2017 00:00;750;1500;1500
FFORJA;FORJA NEPTUN S.R.L.;OA1702093;10000;MS-011269-03;"EB-CYLINDER HEAD TANDEM 18-3/4""-5M ""TL"" BOP";2;2;11/08/2017 00:00;3242;6484;6484
FFORJA;FORJA NEPTUN S.R.L.;OA1702171;10000;MAT61701;EB HEAD LOCK SIDE WEDGELOCK / MS-011269-03 REV 03;2;2;09/10/2017 00:00;164,3;328,6;328,6
FFORJA;FORJA NEPTUN S.R.L.;OA1702171;20000;MAT61704;EB HEAD UNLOCK SIDE WEDGELOCK/ MS-011269-03 REV 03;2;2;09/10/2017 00:00;148,4;296,8;296,8
FFORJA;FORJA NEPTUN S.R.L.;OA1702194;10000;EB-TB13-2404038-25;EB-TB13-CYLINDER/MS-011269-06R01;10;10;01/09/2017 00:00;407,57;4075,7;4075,7
FFORJA;FORJA NEPTUN S.R.L.;OA1702216;10000;MAT61942;EBAUCHE FORGEE BONNET HYDRO 2245524-15-24;4;4;31/08/2017 00:00;527,56;2110,24;2110,24
FFORJA;FORJA NEPTUN S.R.L.;OA1701791;20000;EB-TB13-2245979-01;EB-TB13-ADAPTER BOOSTER/MS-011269-03R03;8;8;21/08/2017 00:00;219,4;1755,2;1755,2
FFORJA;FORJA NEPTUN S.R.L.;OA1701792;10000;EB-TB13-2010884-01;EB-TB13-CYLINDER/MS-011269-03R03;12;12;25/08/2017 00:00;414,2;4970,4;4970,4
FFORJA;FORJA NEPTUN S.R.L.;OA1701793;10000;EB-TB13-2010884-01;EB-TB13-CYLINDER/MS-011269-03R03;14;14;04/10/2017 00:00;414,2;5798,8;5798,8
FFORJA;FORJA NEPTUN S.R.L.;OA1701796;10000;EB-TB13-2010882-03;EB-TB13-CYLINDER HEAD/MS-011269-03R03;6;6;04/09/2017 00:00;441,91;2651,46;2651,46
FFORJA;FORJA NEPTUN S.R.L.;OA1702022;10000;236501-35-22-10;EBAUCHE FORGEE OPERATING PISTON 13-15K;7;7;11/08/2017 00:00;1370;9590;9590
FFORJA;FORJA NEPTUN S.R.L.;OA1702022;20000;236501-35-22-10;EBAUCHE FORGEE OPERATING PISTON 13-15K;6;6;11/08/2017 00:00;1370;8220;8220
FFORJA;FORJA NEPTUN S.R.L.;OA1702022;30000;236501-35-22-10;EBAUCHE FORGEE OPERATING PISTON 13-15K;6;6;28/08/2017 00:00;1370;8220;8220
FFORJA;FORJA NEPTUN S.R.L.;OA1701938;10000;EB-615484-01;"EB-WEAR PLATE D BOP 18-3/4"" 10M";2;2;03/08/2017 00:00;474,88;949,76;949,76
FFORJA;FORJA NEPTUN S.R.L.;OA1701886;10000;236501-82-12-10;EBAUCHE FORGEE OPERATING PISTON 26'';12;12;31/08/2017 00:00;690;8280;8280
FFORJA;FORJA NEPTUN S.R.L.;OA1701897;10000;EB-ACT-140170-24-01;EB-ACT-RING GASKET;2;2;03/08/2017 00:00;185,92;371,84;371,84
FFORJA;FORJA NEPTUN S.R.L.;OA1701897;20000;EBF-ACT-2149832-01;EBF-ACT-LOWER ADAPTER RING;2;2;03/08/2017 00:00;533,02;1066,04;1066,04
FFORJA;FORJA NEPTUN S.R.L.;OA1701580;10000;236501-82-12-10;EBAUCHE FORGEE OPERATING PISTON 26'';12;12;25/08/2017 00:00;690;8280;8280
FGALVA;GALVADOC;OA1701925;10000;2162414-08-03R02#;REVETEMENT CHROMAGE;10;10;24/07/2017 00:00;42,96;429,6;429,6
FGALVA;GALVADOC;OA1701925;20000;2162414-08-03R02#;REVETEMENT CHROMAGE;10;10;24/07/2017 00:00;42,96;429,6;429,6
FGALVA;GALVADOC;OA1701861;10000;2245528-05-12R03#;NICKELAGE;3;3;24/07/2017 00:00;30;90;90
FGALVA;GALVADOC;OA1701861;20000;2245528-02-12R03#;NICKELAGE;4;4;24/07/2017 00:00;30;120;120
FGALVA;GALVADOC;OA1701861;30000;2245528-02-13R02#;NICKELAGE;4;4;24/07/2017 00:00;30;120;120
FGALVA;GALVADOC;OA1701862;10000;2245535-01-10R03#;NICKELAGE;5;5;;34;170;170
FGALVA;GALVADOC;OA1701862;20000;2245535-01-10R03#;REVETEMENT XYLAN;5;5;;34;170;170
FGALVA;GALVADOC;OA1700302;10000;2245528-10-13R02#;NICKELAGE;10;2;26/06/2017 00:00;25,19;251,9;50,38
FGALVA;GALVADOC;OA1702209;10000;140360-01-70-03R02;NICKELAGE;2;2;18/08/2017 00:00;11,5;23;23
FGALVA;GALVADOC;OA1702072;10000;615477-09RA01;REVETEMENT EVERSLIK;2;2;03/08/2017 00:00;125;250;250
FGID;GRAVURE INDUSTRIELLE GID;OA1701632;10000;FOURN-00256;NAMEPLATE FOR ACTUATOR WITH BONNET API 6A & ISO;50;50;06/11/2017 00:00;3,82;191;191
FGID;GRAVURE INDUSTRIELLE GID;OA1701794;10000;FOURN-00851;NAMEPLATE FOR ACTUATORS, API 6A-SSV;1;1;28/07/2017 00:00;59,23;59,23;59,23
FGID;GRAVURE INDUSTRIELLE GID;OA1701794;20000;FOURN-00852;NAME TAG, FOR BONNET AND ACTUATOR;1;1;28/07/2017 00:00;59,23;59,23;59,23
FGID;GRAVURE INDUSTRIELLE GID;OA1701794;30000;FOURN-00853;CAUTION TAG, F/ LOCK OPEN CAPS;1;1;28/07/2017 00:00;125,42;125,42;125,42
FGULF;PARKER HANNIFIN GULF COAST;OA1701824;60000;FOURN-00862;WEAR RING, 3.25 DIAMETER STEMS, PEEK;4;4;04/09/2017 00:00;29,84;119,36;119,36
FGULF;PARKER HANNIFIN GULF COAST;OA1701824;80000;FOURN-00864;BACK-UP RING, STEM SEAL, (.375 C.S.) 3.25 ID X 4.0;4;4;04/09/2017 00:00;41,06;164,24;164,24
FGULF;PARKER HANNIFIN GULF COAST;OA1701780;10000;FOURN-00243;ROD OIL SEAL 1.5ID X 2.004OD X 0.25 W HM14 NITRILE;45;45;06/11/2017 00:00;6,12;275,4;275,4
FGULF;PARKER HANNIFIN GULF COAST;OA1701780;20000;FOURN-00333;SEAL RING 2.500 ID X 3.000 OD X .375 POLYPAK DEEP;5;5;02/10/2017 00:00;6,49;32,45;32,45
FGULF;PARKER HANNIFIN GULF COAST;OA1701780;30000;FOURN-00375;SEAL RING 3.750 OD X .375 THK;30;30;11/09/2017 00:00;40,81;1224,3;1224,3
FGULF;PARKER HANNIFIN GULF COAST;OA1701365;10000;FOURN-00251;BACK UP STEM SEAL(.375 C.S) 1.25 ID X 2.00 OD;40;40;09/10/2017 00:00;12,27;490,8;490,8
FHALLITEITALIA;HALLITE ITALIA SRL;OA1702124;10000;FOURN-00089;WEAR RING 2.745X0.125X0.500;20;20;26/10/2017 00:00;7,8;156;156
FHALLITEITALIA;HALLITE ITALIA SRL;OA1702124;20000;FOURN-00090;WEAR RING 1.745X0.125X0.375;20;20;03/10/2017 00:00;6,55;131;131
FHALLITEITALIA;HALLITE ITALIA SRL;OA1701210;10000;FOURN-00089;WEAR RING 2.745X0.125X0.500;50;50;08/09/2017 00:00;7,8;390;390
FHALLITEITALIA;HALLITE ITALIA SRL;OA1701210;20000;FOURN-00090;WEAR RING 1.745X0.125X0.375;50;50;08/09/2017 00:00;6,55;327,5;327,5
